Wall time,Step,Value
1715110029.5397806,43,0.0859375
1715110029.7902899,46,0.125
1715110031.649015,72,0.0859375
1715110033.131056,95,0.078125
1715110036.6728628,168,0.1171875
1715110039.672427,230,0.09375
1715110039.910699,235,0.078125
1715110040.9169898,256,0.1171875
1715110041.7441373,274,0.09375
1715110044.0410337,309,0.109375
1715110044.1310182,311,0.03125
1715110044.6659372,319,0.25
1715110056.8917162,475,0.0859375
1715110060.568663,537,0.1640625
1715110062.8070226,580,0.1484375
1715110063.1830065,587,0.09375
1715110065.4905822,635,0.1015625
1715110066.1227233,648,0.1484375
1715110067.365803,672,0.125
1715110069.9541023,715,0.125
1715110070.593767,723,0.1328125
1715110074.375607,786,0.140625
1715110075.2331119,803,0.171875
1715110075.5239782,809,0.140625
1715110076.956985,837,0.09375
1715110084.8601367,972,0.140625
1715110086.937727,1015,0.1171875
1715110089.6481843,1067,0.1171875
1715110091.5171645,1105,0.1015625
1715110095.9957635,1181,0.140625
1715110100.8456554,1262,0.1171875
1715110103.6010268,1317,0.109375
1715110103.8021102,1320,0.1171875
1715110104.4222596,1334,0.1015625
1715110104.633858,1338,0.1015625
1715110107.1961262,1386,0.09375
1715110107.588026,1393,0.1015625
1715110111.0207386,1437,0.1640625
1715110112.5420928,1467,0.1328125
1715110115.473713,1524,0.2109375
1715110116.9127386,1553,0.1015625
1715110117.9657216,1569,0.140625
1715110118.8573632,1585,0.125
1715110125.3757043,1692,0.1171875
1715110127.7611098,1735,0.125
1715110127.8957272,1738,0.1640625
1715110133.4747503,1845,0.125
1715110135.019093,1867,0.1484375
1715110135.8231757,1878,0.1328125
1715110138.256626,1918,0.125
1715110139.1408648,1935,0.125
1715110139.761075,1948,0.1171875
1715110144.480116,2037,0.1328125
1715110148.0816433,2097,0.15625
1715110153.2696345,2188,0.109375
1715110153.9050643,2200,0.171875
1715110155.5079718,2232,0.1875
1715110155.8018672,2238,0.140625
1715110157.1096387,2263,0.09375
1715110159.45873,2308,0.1015625
1715110164.9706442,2390,0.140625
1715110167.4423018,2437,0.125
1715110168.381866,2454,0.109375
1715110168.569617,2456,0.1328125
1715110168.762143,2461,0.1328125
1715110170.0617683,2486,0.1484375
1715110170.1087685,2487,0.1484375
1715110170.7370126,2499,0.109375
1715110171.0177612,2504,0.109375
1715110172.4770403,2533,0.203125
1715110173.35013,2548,0.1640625
1715110173.9072382,2554,0.1328125
1715110181.5281198,2686,0.1171875
1715110184.7880802,2741,0.1171875
1715110197.857043,2968,0.140625
1715110202.6506293,3039,0.09375
1715110202.7771146,3042,0.140625
1715110205.9074113,3100,0.1171875
1715110209.4889317,3162,0.1875
1715110213.3391795,3231,0.1875
1715110214.4121253,3245,0.1875
1715110214.6323204,3247,0.1484375
1715110214.6854029,3248,0.1171875
1715110217.8874476,3306,0.1328125
1715110227.6308403,3481,0.15625
1715110235.50409,3619,0.140625
1715110235.5910833,3621,0.1015625
1715110238.0947926,3671,0.234375
1715110242.9340572,3742,0.0859375
1715110245.591717,3794,0.140625
1715110246.691762,3815,0.1484375
1715110247.06108,3822,0.109375
1715110256.2610753,3929,0.140625
1715110257.739161,3957,0.1484375
1715110259.2176194,3985,0.15625
1715110261.949167,4037,0.0859375
1715110265.1023114,4099,0.1484375
1715110271.20172,4197,0.1328125
1715110272.8216903,4228,0.109375
1715110273.0389307,4233,0.1328125
1715110277.6117427,4318,0.1953125
1715110277.7211509,4320,0.1796875
1715110283.0207334,4401,0.1640625
1715110287.7637746,4493,0.15625
1715110288.681606,4510,0.171875
1715110289.7707465,4531,0.09375
1715110297.8498194,4665,0.1484375
1715110298.103798,4669,0.171875
1715110298.5420432,4677,0.140625
1715110304.5976107,4789,0.1171875
1715110305.6570983,4803,0.2109375
1715110308.289741,4841,0.09375
1715110308.9053187,4853,0.15625
1715110311.1625912,4895,0.109375
1715110315.1028774,4972,0.1171875
1715110320.1804068,5051,0.2109375
1715110320.2803156,5053,0.140625
1715110323.4270616,5107,0.1328125
1715110324.8301713,5135,0.1953125
1715110330.2330472,5240,0.140625
1715110336.7484348,5346,0.1328125
1715110337.4816258,5360,0.140625
1715110340.7190585,5421,0.140625
1715110348.616465,5550,0.171875
1715110355.5481064,5680,0.1640625
1715110358.266774,5724,0.1015625
1715110363.2681198,5809,0.1328125
1715110364.2144885,5829,0.1171875
1715110366.0326529,5865,0.13750000298023224
1715110366.689042,5872,0.1328125
1715110368.6510217,5908,0.1484375
1715110369.7276897,5929,0.125
1715110374.126734,5991,0.15625
1715110375.1088896,6011,0.1171875
1715110380.8683188,6122,0.140625
1715110381.3831685,6132,0.125
1715110386.0546951,6201,0.1171875
1715110386.8577702,6214,0.1875
1715110387.205604,6220,0.1484375
1715110387.761094,6233,0.125
1715110390.9159074,6290,0.1328125
1715110392.1187072,6313,0.1328125
1715110395.3152118,6377,0.1328125
1715110403.7771313,6521,0.140625
1715110406.5690727,6575,0.125
1715110408.0529835,6604,0.1640625
1715110411.8937426,6658,0.140625
1715110414.1410651,6697,0.171875
1715110414.2748346,6700,0.171875
