Wall time,Step,Value
1714236152.2598364,43,0.296875
1714236152.342049,46,0.3046875
1714236153.049063,72,0.296875
1714236153.6898024,95,0.390625
1714236155.6983309,168,0.421875
1714236157.3777113,230,0.3984375
1714236157.5056329,235,0.359375
1714236158.0832057,256,0.40625
1714236158.5988922,274,0.4609375
1714236159.555128,309,0.453125
1714236159.6059792,311,0.3671875
1714236159.830653,319,0.4296875
1714236198.2631428,475,0.4453125
1714236199.9593716,537,0.5546875
1714236201.117796,580,0.546875
1714236201.303686,587,0.59375
1714236202.59042,635,0.546875
1714236202.9528735,648,0.5703125
1714236203.6078768,672,0.453125
1714236204.7772732,715,0.5234375
1714236205.0064144,723,0.6328125
1714236223.8693724,786,0.6171875
1714236224.3415327,803,0.5546875
1714236224.5072908,809,0.546875
1714236225.2549477,837,0.6171875
1714236228.9382372,972,0.625
1714236230.0939798,1015,0.6171875
1714236231.488403,1067,0.515625
1714236232.5338602,1105,0.734375
1714236252.5522635,1181,0.71875
1714236254.7128875,1262,0.71875
1714236256.2169905,1317,0.6953125
1714236256.2953587,1320,0.6953125
1714236256.6778347,1334,0.71875
1714236256.7899787,1338,0.703125
1714236258.0933514,1386,0.6796875
1714236258.279762,1393,0.6640625
1714236259.490157,1437,0.7265625
1714236260.3025966,1467,0.7265625
1714236261.8476462,1524,0.6796875
1714236262.6137245,1553,0.7109375
1714236279.6888504,1569,0.7109375
1714236280.1240396,1585,0.7890625
1714236283.023185,1692,0.71875
1714236284.1777015,1735,0.6640625
1714236284.2525332,1738,0.765625
1714236287.1680982,1845,0.6953125
1714236287.7533555,1867,0.7734375
1714236288.0406785,1878,0.78125
1714236289.1389573,1918,0.75
1714236289.5976985,1935,0.7421875
1714236289.9522886,1948,0.71875
1714236308.9484868,2037,0.6875
1714236310.578036,2097,0.71875
1714236313.0855722,2188,0.7109375
1714236313.4289107,2200,0.7109375
1714236314.255449,2232,0.7109375
1714236314.4182575,2238,0.78125
1714236315.0673223,2263,0.765625
1714236316.2819834,2308,0.671875
1714236335.1115882,2390,0.796875
1714236336.3649886,2437,0.734375
1714236336.8125079,2454,0.78125
1714236336.8639483,2456,0.8046875
1714236336.9964,2461,0.78125
1714236337.6869373,2486,0.8125
1714236337.7135506,2487,0.7890625
1714236338.0206592,2499,0.828125
1714236338.1503685,2504,0.75
1714236338.9088414,2533,0.7265625
1714236339.316551,2548,0.7890625
1714236339.4746752,2554,0.75
1714236343.0840266,2686,0.7734375
1714236361.2178733,2741,0.84375
1714236367.316233,2968,0.734375
1714236369.2669625,3039,0.75
1714236369.3447804,3042,0.7734375
1714236370.9302573,3100,0.8125
1714236389.4025834,3162,0.7265625
1714236391.2528028,3231,0.7890625
1714236391.6111782,3245,0.78125
1714236391.6748114,3247,0.8125
1714236391.6991742,3248,0.8125
1714236393.2736819,3306,0.7734375
1714236397.997583,3481,0.859375
1714236418.363275,3619,0.78125
1714236418.4168897,3621,0.7890625
1714236419.8099413,3671,0.78125
1714236421.73843,3742,0.8125
1714236423.1131072,3794,0.8203125
1714236423.6979141,3815,0.8203125
1714236423.8939126,3822,0.828125
1714236458.412183,3929,0.8046875
1714236459.169815,3957,0.8125
1714236459.916634,3985,0.8125
1714236461.32094,4037,0.8046875
1714236463.0015807,4099,0.8359375
1714236465.6779625,4197,0.796875
1714236466.5203657,4228,0.8046875
1714236466.6624298,4233,0.796875
1714236485.703292,4318,0.7578125
1714236485.755691,4320,0.8125
1714236487.9883957,4401,0.84375
1714236490.5545838,4493,0.828125
1714236491.0204275,4510,0.78125
1714236491.596316,4531,0.7890625
1714236495.1882143,4665,0.7578125
1714236495.2941234,4669,0.828125
1714236495.5290442,4677,0.84375
1714236515.4858832,4789,0.8125
1714236515.8621156,4803,0.828125
1714236516.9039738,4841,0.8125
1714236517.2348506,4853,0.75
1714236518.3611696,4895,0.8515625
1714236520.439329,4972,0.8359375
1714236522.601824,5051,0.796875
1714236522.6546438,5053,0.8046875
1714236540.9375355,5107,0.7578125
1714236541.7704005,5135,0.8359375
1714236544.6019425,5240,0.8359375
1714236547.429039,5346,0.859375
1714236547.8110774,5360,0.84375
1714236549.433979,5421,0.8359375
1714236569.6881983,5550,0.7890625
1714236573.145497,5680,0.8046875
1714236574.3296564,5724,0.84375
1714236576.611621,5809,0.8359375
1714236577.1463373,5829,0.828125
1714236578.093271,5865,0.8374999761581421
1714236595.0250542,5872,0.8203125
1714236596.0025544,5908,0.84375
1714236596.5608974,5929,0.8828125
1714236598.2168922,5991,0.8046875
1714236598.7812335,6011,0.8125
1714236601.7790956,6122,0.8046875
1714236602.04407,6132,0.8359375
1714236603.8490782,6201,0.8359375
1714236604.205903,6214,0.859375
1714236604.3777828,6220,0.796875
1714236604.715148,6233,0.8359375
1714236622.95335,6290,0.8203125
1714236623.579644,6313,0.8515625
1714236625.3048913,6377,0.859375
1714236629.183684,6521,0.8203125
1714236630.64611,6575,0.84375
1714236631.413034,6604,0.8203125
1714236649.5300846,6658,0.8515625
1714236650.5906742,6697,0.8515625
1714236650.681343,6700,0.828125
1714236650.9970322,6712,0.859375
1714236651.846723,6743,0.8046875
1714236654.8816345,6855,0.859375
1714236657.927917,6967,0.8203125
1714236658.6412508,6993,0.8828125
1714236659.2726865,7015,0.828125
1714236678.5213473,7107,0.875
1714236678.7380314,7115,0.8359375
1714236679.8660388,7156,0.7890625
1714236682.3889284,7248,0.859375
1714236684.1354754,7312,0.8046875
1714236685.4524496,7360,0.875
1714236686.0892015,7383,0.8515625
1714236686.6217477,7402,0.796875
1714236705.0099487,7451,0.890625
1714236705.3269851,7461,0.875
1714236705.4149039,7464,0.8515625
1714236705.8217385,7479,0.8046875
1714236706.7170925,7512,0.796875
1714236711.5475109,7688,0.8203125
1714236711.7153544,7694,0.84375
1714236713.529908,7761,0.8515625
1714236714.2931185,7789,0.84375
1714236714.5578194,7799,0.8828125
1714236746.9814014,7834,0.8515625
1714236751.2974434,7992,0.875
1714236752.267989,8027,0.8828125
1714236753.3405216,8067,0.8671875
1714236756.478365,8181,0.828125
1714236774.4885817,8222,0.875
1714236777.5886035,8335,0.8203125
1714236778.390397,8364,0.78125
1714236778.5233016,8369,0.8515625
1714236778.7719922,8378,0.8515625
1714236781.2244868,8468,0.8515625
1714236781.3119304,8471,0.84375
1714236782.064794,8499,0.84375
1714236782.3314989,8509,0.8671875
1714236783.8876858,8567,0.828125
1714236784.8325963,8602,0.862500011920929
