Wall time,Step,Value
1715960467.9558423,43,0.0859375
1715960468.0305011,46,0.1875
1715960468.7058966,72,0.1015625
1715960469.3049898,95,0.109375
1715960471.108451,168,0.140625
1715960472.6774096,230,0.1328125
1715960472.8054378,235,0.1328125
1715960473.3401768,256,0.15625
1715960473.78666,274,0.1171875
1715960474.6635997,309,0.1015625
1715960474.7184138,311,0.1640625
1715960474.9355147,319,0.0859375
1715960547.9576375,475,0.1484375
1715960549.7382126,537,0.1328125
1715960550.9286652,580,0.1328125
1715960551.1112347,587,0.1015625
1715960552.427131,635,0.1015625
1715960552.757447,648,0.1015625
1715960553.4394689,672,0.140625
1715960554.6219132,715,0.0859375
1715960554.8321483,723,0.1484375
1715960591.1892564,786,0.109375
1715960591.6750631,803,0.1015625
1715960591.8396564,809,0.203125
1715960592.6245484,837,0.171875
1715960596.518433,972,0.125
1715960597.7458498,1015,0.1796875
1715960599.2077029,1067,0.1171875
1715960600.2622707,1105,0.1171875
1715960635.6665585,1181,0.140625
1715960637.8496258,1262,0.125
1715960639.34109,1317,0.140625
1715960639.4204895,1320,0.1171875
1715960639.8121288,1334,0.09375
1715960639.9164038,1338,0.1484375
1715960641.2305634,1386,0.109375
1715960641.4158206,1393,0.109375
1715960642.6214657,1437,0.0859375
1715960643.4125268,1467,0.109375
1715960644.7914677,1524,0.09375
1715960645.4745173,1553,0.0703125
1715960675.7590444,1569,0.1328125
1715960676.1540332,1585,0.125
1715960678.6909456,1692,0.1328125
1715960679.7187562,1735,0.1171875
1715960679.7873633,1738,0.1015625
1715960682.3125603,1845,0.125
1715960682.8238776,1867,0.09375
1715960683.0856273,1878,0.1171875
1715960684.0279088,1918,0.109375
1715960684.4153209,1935,0.140625
1715960684.7166533,1948,0.171875
1715960717.1695669,2037,0.140625
1715960718.6061206,2097,0.1171875
1715960720.7609105,2188,0.140625
1715960721.0478947,2200,0.1015625
1715960721.7968786,2232,0.078125
1715960721.938627,2238,0.125
1715960722.5229285,2263,0.125
1715960723.562936,2308,0.09375
1715960754.8533094,2390,0.1171875
1715960755.9476762,2437,0.0625
1715960756.349348,2454,0.15625
1715960756.3967726,2456,0.1953125
1715960756.5100253,2461,0.1328125
1715960757.0893917,2486,0.1640625
1715960757.1137285,2487,0.1796875
1715960757.4037323,2499,0.1015625
1715960757.5246515,2504,0.15625
1715960758.224648,2533,0.0859375
1715960758.5738955,2548,0.1328125
1715960758.7156672,2554,0.1640625
1715960761.7996218,2686,0.140625
1715960792.2933545,2741,0.1640625
1715960797.6790152,2968,0.1484375
1715960799.3698614,3039,0.1875
1715960799.4442966,3042,0.0703125
1715960800.8073003,3100,0.0859375
1715960831.4115312,3162,0.140625
1715960833.0329854,3231,0.15625
1715960833.3601627,3245,0.140625
1715960833.4077945,3247,0.125
1715960833.4324672,3248,0.1484375
1715960834.836624,3306,0.15625
1715960839.043781,3481,0.1171875
1715960871.5541599,3619,0.109375
1715960871.6018188,3621,0.1171875
1715960872.7522867,3671,0.1953125
1715960874.4204063,3742,0.1171875
1715960875.6311574,3794,0.1484375
1715960876.1233754,3815,0.1640625
1715960876.2813802,3822,0.1640625
1715960935.4031851,3929,0.1484375
1715960936.0770037,3957,0.15625
1715960936.7498977,3985,0.1015625
1715960937.9766326,4037,0.140625
1715960939.4448624,4099,0.15625
1715960941.7817092,4197,0.1640625
1715960942.522325,4228,0.125
1715960942.6407018,4233,0.1015625
1715960973.7634876,4318,0.125
1715960973.8088505,4320,0.1328125
1715960975.7325642,4401,0.1484375
1715960977.9067476,4493,0.1328125
1715960978.3080685,4510,0.1171875
1715960978.7983272,4531,0.140625
1715960981.9749968,4665,0.1796875
1715960982.067041,4669,0.1171875
1715960982.256531,4677,0.078125
1715961014.0292244,4789,0.15625
1715961014.361621,4803,0.125
1715961015.2601044,4841,0.1484375
1715961015.5469391,4853,0.1171875
1715961016.5179093,4895,0.1015625
1715961018.3130677,4972,0.15625
1715961020.1587305,5051,0.1171875
1715961020.2072449,5053,0.1171875
1715961050.516328,5107,0.1640625
1715961051.1984649,5135,0.125
1715961053.6795566,5240,0.1640625
1715961056.1957338,5346,0.0859375
1715961056.529606,5360,0.1171875
1715961057.9699836,5421,0.09375
1715961090.3092067,5550,0.1640625
1715961093.3612037,5680,0.1640625
1715961094.377133,5724,0.1171875
1715961096.3765132,5809,0.15625
1715961096.8395572,5829,0.1484375
1715961097.673813,5865,0.20000000298023224
1715961127.0712366,5872,0.1640625
1715961127.9281409,5908,0.1875
1715961128.417191,5929,0.171875
1715961129.8952246,5991,0.1796875
1715961130.3658683,6011,0.1484375
1715961132.9819462,6122,0.125
1715961133.2172675,6132,0.09375
1715961134.8245895,6201,0.1015625
1715961135.1284175,6214,0.1328125
1715961135.263515,6220,0.140625
1715961135.5635707,6233,0.1484375
1715961166.9945207,6290,0.140625
1715961167.5968227,6313,0.125
1715961169.3064704,6377,0.1328125
1715961173.1596184,6521,0.1484375
1715961174.5949988,6575,0.234375
1715961175.3545244,6604,0.1640625
1715961206.5803037,6658,0.0625
1715961207.7350156,6697,0.109375
1715961207.8306062,6700,0.1875
1715961208.173764,6712,0.0859375
1715961209.029224,6743,0.1875
1715961212.0541134,6855,0.1171875
1715961214.981192,6967,0.1640625
1715961215.6913161,6993,0.1953125
1715961216.351257,7015,0.1328125
1715961251.8586156,7107,0.0859375
1715961252.0872536,7115,0.125
1715961253.2233129,7156,0.140625
1715961255.7947512,7248,0.109375
1715961257.6347032,7312,0.1015625
1715961259.0534718,7360,0.125
1715961259.6715178,7383,0.21875
1715961260.20194,7402,0.1015625
1715961295.6525757,7451,0.1484375
1715961295.9312806,7461,0.1171875
1715961296.012901,7464,0.15625
1715961296.4267006,7479,0.171875
1715961297.3380692,7512,0.140625
1715961302.2298052,7688,0.109375
1715961302.408853,7694,0.1484375
1715961304.2515578,7761,0.203125
1715961305.042756,7789,0.1640625
1715961305.3165088,7799,0.1484375
1715961370.2060895,7834,0.1484375
1715961374.6014328,7992,0.109375
1715961375.583686,8027,0.125
1715961376.6951995,8067,0.1875
1715961379.8372078,8181,0.1015625
1715961413.8993676,8222,0.125
1715961416.9995606,8335,0.125
1715961417.8051093,8364,0.21875
1715961417.9430103,8369,0.140625
1715961418.1850152,8378,0.1171875
1715961420.711065,8468,0.2109375
1715961420.7941015,8471,0.1640625
1715961421.5534801,8499,0.125
1715961421.8292706,8509,0.1875
1715961423.466498,8567,0.1640625
1715961424.4255743,8602,0.11249999701976776
1715961459.1615834,8636,0.2265625
1715961460.8384361,8696,0.09375
1715961464.2776327,8820,0.1171875
1715961465.9341466,8879,0.109375
1715961466.654684,8905,0.140625
1715961466.7390454,8908,0.1328125
1715961467.324366,8929,0.1796875
1715961467.518873,8936,0.125
1715961503.3692985,8994,0.1328125
1715961503.5935278,9000,0.1953125
1715961505.1782267,9056,0.171875
1715961510.9007106,9261,0.1171875
1715961512.4515238,9317,0.1875
1715961513.3557234,9349,0.15625
1715961548.9915576,9436,0.125
1715961549.8974812,9469,0.140625
1715961552.0605206,9548,0.125
1715961552.240902,9555,0.140625
1715961552.5947995,9568,0.0859375
1715961554.2041533,9628,0.171875
1715961555.0048127,9658,0.1171875
1715961555.6324253,9681,0.1484375
1715961556.1148863,9699,0.15625
1715961592.6757355,9844,0.15625
1715961594.4565256,9908,0.1171875
1715961598.6013062,10059,0.1171875
1715961599.2916725,10085,0.1328125
1715961639.4144077,10277,0.125
1715961639.6028738,10284,0.1953125
1715961642.6391416,10397,0.171875
1715961642.7205439,10400,0.1796875
1715961643.2876236,10421,0.1796875
1715961644.8654995,10480,0.1875
1715961645.1306467,10490,0.1640625
1715961646.062611,10523,0.0859375
1715961681.7445278,10608,0.15625
1715961682.6015823,10639,0.140625
1715961683.0320542,10655,0.1640625
1715961683.5021477,10672,0.140625
1715961684.6461878,10712,0.1640625
1715961685.97135,10758,0.125
1715961685.9965215,10759,0.1796875
1715961686.5869722,10781,0.1171875
1715961687.519792,10816,0.1484375
1715961688.2316327,10842,0.171875
1715961688.4930089,10851,0.1171875
1715961689.8996117,10903,0.15625
1715961689.9936492,10906,0.1171875
