Wall time,Step,Value
1715646574.7182465,43,0.125
1715646574.8052504,46,0.09375
1715646575.6357782,72,0.109375
1715646576.2947032,95,0.0859375
1715646578.4596164,168,0.15625
1715646580.2615833,230,0.125
1715646580.413707,235,0.1015625
1715646581.0596993,256,0.1328125
1715646581.590417,274,0.1328125
1715646582.6492195,309,0.1015625
1715646582.7078106,311,0.1328125
1715646582.948989,319,0.09375
1715646590.8147418,475,0.1015625
1715646592.6745582,537,0.0703125
1715646593.925515,580,0.09375
1715646594.1628008,587,0.1015625
1715646595.6264021,635,0.1640625
1715646596.0409794,648,0.1328125
1715646596.7667766,672,0.109375
1715646598.0196884,715,0.109375
1715646598.2550526,723,0.109375
1715646600.3669217,786,0.1328125
1715646600.90079,803,0.0625
1715646601.073401,809,0.0859375
1715646601.8778882,837,0.1171875
1715646605.9477503,972,0.0859375
1715646607.2133281,1015,0.09375
1715646608.786454,1067,0.1171875
1715646609.9037662,1105,0.125
1715646612.440192,1181,0.109375
1715646614.8515522,1262,0.15625
1715646616.5657685,1317,0.171875
1715646616.6727867,1320,0.09375
1715646617.0994148,1334,0.125
1715646617.2257123,1338,0.1171875
1715646618.7590666,1386,0.1484375
1715646619.01413,1393,0.1640625
1715646620.657935,1437,0.078125
1715646621.5576174,1467,0.09375
1715646623.2706857,1524,0.078125
1715646624.1051543,1553,0.078125
1715646624.8839233,1569,0.078125
1715646625.4065726,1585,0.1015625
1715646628.5995984,1692,0.1015625
1715646629.8966768,1735,0.0859375
1715646629.962416,1738,0.078125
1715646633.2142978,1845,0.125
1715646633.8495529,1867,0.0859375
1715646634.2099113,1878,0.1484375
1715646635.405867,1918,0.109375
1715646635.9315035,1935,0.125
1715646636.3013206,1948,0.078125
1715646639.2617197,2037,0.125
1715646641.076146,2097,0.125
1715646643.779733,2188,0.1015625
1715646644.1414967,2200,0.09375
1715646645.092824,2232,0.1015625
1715646645.2812705,2238,0.125
1715646646.0463233,2263,0.0859375
1715646647.4287672,2308,0.09375
1715646650.1696522,2390,0.1328125
1715646651.9355333,2437,0.140625
1715646652.5266545,2454,0.1171875
1715646652.602502,2456,0.09375
1715646652.7514675,2461,0.1484375
1715646653.488661,2486,0.125
1715646653.518448,2487,0.1015625
1715646653.8919854,2499,0.09375
1715646654.0363915,2504,0.1171875
1715646654.9049737,2533,0.1171875
1715646655.3955083,2548,0.15625
1715646655.5935228,2554,0.1015625
1715646659.5388362,2686,0.140625
1715646661.488756,2741,0.1171875
1715646668.356765,2968,0.1171875
1715646670.4359794,3039,0.140625
1715646670.5429115,3042,0.09375
1715646672.2715611,3100,0.0859375
1715646674.405171,3162,0.1640625
1715646676.5287235,3231,0.15625
1715646676.9179044,3245,0.1171875
1715646676.9793239,3247,0.09375
1715646677.0092123,3248,0.0859375
1715646678.7237217,3306,0.1171875
1715646684.3323429,3481,0.1484375
1715646688.8382416,3619,0.1171875
1715646688.899804,3621,0.1328125
1715646690.405753,3671,0.125
1715646692.5315099,3742,0.15625
1715646694.077827,3794,0.109375
1715646694.6759818,3815,0.109375
1715646694.8927305,3822,0.1171875
1715646699.8906138,3929,0.1484375
1715646700.7230203,3957,0.125
1715646701.5588331,3985,0.1015625
1715646703.1243486,4037,0.140625
1715646704.9499788,4099,0.1640625
1715646707.886848,4197,0.09375
1715646708.8269436,4228,0.1640625
1715646708.970187,4233,0.1796875
1715646711.7327003,4318,0.140625
1715646711.7909565,4320,0.125
1715646714.2537959,4401,0.1171875
1715646717.505252,4493,0.1328125
1715646718.013195,4510,0.1484375
1715646718.6442292,4531,0.09375
1715646722.6884966,4665,0.2109375
1715646722.8333435,4669,0.0703125
1715646723.0855749,4677,0.1875
1715646726.7506962,4789,0.1484375
1715646727.1680484,4803,0.109375
1715646728.3008194,4841,0.1171875
1715646728.6483276,4853,0.1328125
1715646729.9322565,4895,0.1171875
1715646732.1931765,4972,0.078125
1715646734.5687265,5051,0.109375
1715646734.6291528,5053,0.1484375
1715646736.571009,5107,0.125
1715646737.3925831,5135,0.1640625
1715646740.5028026,5240,0.09375
1715646743.667525,5346,0.140625
1715646744.125615,5360,0.1875
1715646746.0000646,5421,0.1796875
1715646750.557808,5550,0.0859375
1715646754.4499013,5680,0.171875
1715646755.7986705,5724,0.1484375
1715646758.3769147,5809,0.1640625
1715646758.9836268,5829,0.1328125
1715646759.9923098,5865,0.11249999701976776
1715646760.5095541,5872,0.1171875
1715646761.5986335,5908,0.078125
1715646762.230595,5929,0.109375
1715646764.098014,5991,0.1328125
1715646764.6806731,6011,0.1171875
1715646768.0550497,6122,0.140625
1715646768.3681614,6132,0.078125
1715646770.4079378,6201,0.1015625
1715646770.8326888,6214,0.109375
1715646770.9962296,6220,0.1484375
1715646771.3852267,6233,0.125
1715646773.368725,6290,0.078125
1715646774.0522525,6313,0.1171875
1715646775.9804711,6377,0.125
1715646780.765031,6521,0.1484375
1715646782.410637,6575,0.125
1715646783.3218186,6604,0.1796875
1715646785.2269657,6658,0.140625
1715646786.4562542,6697,0.1640625
1715646786.5448463,6700,0.1484375
1715646786.8908522,6712,0.171875
1715646787.8145623,6743,0.171875
1715646791.118747,6855,0.1484375
1715646794.4907677,6967,0.1796875
1715646795.3006368,6993,0.1875
1715646795.9829626,7015,0.15625
1715646799.043484,7107,0.09375
1715646799.2951481,7115,0.15625
1715646800.475735,7156,0.171875
1715646803.5837336,7248,0.1875
1715646805.962758,7312,0.140625
1715646807.744729,7360,0.140625
1715646808.527779,7383,0.078125
1715646809.2181041,7402,0.1640625
1715646811.4387698,7451,0.1171875
1715646811.9456527,7461,0.1484375
1715646812.0555248,7464,0.125
1715646812.6709013,7479,0.1484375
1715646813.9263027,7512,0.1796875
1715646820.1715815,7688,0.1171875
1715646820.366843,7694,0.1328125
1715646822.697824,7761,0.171875
1715646823.627996,7789,0.1328125
1715646823.9700232,7799,0.1484375
1715646827.4721265,7834,0.1328125
1715646832.9646783,7992,0.125
1715646834.1943614,8027,0.140625
1715646835.7740514,8067,0.140625
1715646839.5028203,8181,0.1328125
1715646841.0072947,8222,0.109375
1715646844.8967876,8335,0.1015625
1715646845.8227324,8364,0.1171875
1715646845.9730234,8369,0.1796875
1715646846.2366974,8378,0.1171875
1715646848.910825,8468,0.0859375
1715646849.0027769,8471,0.1875
1715646849.8641882,8499,0.15625
1715646850.164351,8509,0.1171875
1715646851.891013,8567,0.1171875
1715646852.8401625,8602,0.125
1715646854.1696882,8636,0.1640625
1715646856.0521667,8696,0.09375
1715646859.7114573,8820,0.125
1715646861.514475,8879,0.140625
1715646862.2988646,8905,0.2421875
1715646862.387937,8908,0.1328125
1715646863.0433426,8929,0.140625
1715646863.2386143,8936,0.1328125
1715646865.250452,8994,0.15625
1715646865.450878,9000,0.1796875
1715646867.1505022,9056,0.1171875
1715646873.2837527,9261,0.1796875
1715646874.9496195,9317,0.15625
1715646876.270302,9349,0.2109375
1715646879.302744,9436,0.1015625
1715646880.312851,9469,0.046875
1715646882.708837,9548,0.140625
1715646882.9272752,9555,0.1328125
1715646883.2978766,9568,0.0859375
1715646885.0924315,9628,0.1640625
1715646886.0382495,9658,0.171875
1715646886.7392905,9681,0.171875
1715646887.287154,9699,0.1484375
1715646891.961959,9844,0.1171875
1715646893.81615,9908,0.1484375
1715646898.5306962,10059,0.1015625
1715646899.339863,10085,0.171875
1715646905.5794263,10277,0.1796875
1715646905.8085096,10284,0.140625
1715646909.797674,10397,0.1328125
1715646909.9031339,10400,0.1171875
1715646910.5249343,10421,0.125
1715646912.3397202,10480,0.140625
1715646912.63604,10490,0.171875
1715646913.6808739,10523,0.15625
1715646916.605063,10608,0.15625
1715646917.5116768,10639,0.140625
1715646918.0182734,10655,0.1171875
1715646918.5226717,10672,0.140625
1715646919.7005012,10712,0.1328125
1715646921.1111917,10758,0.1328125
1715646921.1368816,10759,0.140625
1715646921.784574,10781,0.1640625
1715646922.847241,10816,0.1640625
1715646923.6283002,10842,0.140625
1715646923.8931956,10851,0.15625
1715646925.4473305,10903,0.125
1715646925.542446,10906,0.140625
1715646926.5586293,10940,0.171875
1715646926.6522467,10944,0.1875
1715646927.5933237,10967,0.1484375
1715646927.781872,10973,0.15625
1715646927.8271995,10975,0.1484375
1715646929.2145917,11021,0.125
1715646931.6756287,11103,0.09375
1715646932.2405982,11122,0.1328125
1715646932.5076327,11131,0.1171875
1715646934.557731,11199,0.140625
1715646934.6158943,11201,0.171875
1715646936.4654303,11261,0.1328125
1715646941.9435694,11420,0.140625
1715646943.5472276,11473,0.1796875
1715646944.0990894,11493,0.1484375
1715646945.0253093,11524,0.1328125
1715646945.319032,11533,0.15625
1715646945.8515828,11550,0.1640625
1715646946.3847625,11567,0.1015625
1715646948.814661,11649,0.1015625
1715646949.5458803,11672,0.15625
1715646949.9519107,11686,0.1875
1715646953.970313,11760,0.140625
1715646957.4083862,11874,0.1640625
1715646960.2871602,11970,0.109375
1715646960.4459815,11975,0.125
1715646961.5465786,12011,0.15625
1715646962.467684,12042,0.140625
1715646965.6953974,12139,0.1640625
1715646966.5055902,12165,0.140625
1715646966.6171706,12169,0.1640625
1715646967.0832915,12185,0.140625
1715646968.3482206,12227,0.1328125
1715646970.2543547,12291,0.109375
1715646970.3258457,12294,0.125
1715646970.7860415,12310,0.140625
1715646974.1147654,12406,0.125
1715646975.7608578,12459,0.1328125
1715646978.840119,12554,0.1171875
1715646982.3848348,12672,0.1015625
1715646983.1860347,12700,0.125
1715646986.4072728,12806,0.140625
1715646988.5617223,12878,0.1875
1715646990.6578584,12940,0.1953125
1715646992.950824,13018,0.1875
1715646993.4653823,13035,0.203125
1715646994.2765355,13062,0.171875
1715646994.8867772,13083,0.1484375
1715646995.26232,13095,0.15625
1715646995.7189345,13110,0.203125
1715646995.82775,13114,0.1328125
1715646996.3506439,13131,0.1171875
1715646997.4449065,13167,0.1171875
1715646998.6457374,13207,0.078125
1715646999.6445918,13240,0.1640625
1715647003.1646576,13350,0.140625
1715647005.2257318,13403,0.1484375
1715647005.3670642,13407,0.1328125
1715647005.9995217,13427,0.2109375
1715647008.3226972,13505,0.125
1715647009.5827098,13547,0.1484375
1715647011.081584,13598,0.125
1715647011.7719517,13621,0.109375
1715647013.5792284,13680,0.125
1715647013.640227,13683,0.203125
1715647016.8287644,13777,0.0703125
1715647017.8428807,13811,0.1796875
1715647018.888275,13846,0.1640625
1715647020.0325885,13885,0.1328125
1715647022.8364727,13977,0.1640625
1715647023.4992435,13999,0.1640625
1715647026.2926965,14081,0.140625
1715647030.544179,14222,0.1484375
1715647032.5442033,14288,0.1484375
1715647032.7844808,14295,0.140625
1715647033.0640566,14304,0.140625
1715647033.5751,14321,0.171875
1715647033.962123,14333,0.1640625
1715647034.1195598,14339,0.1484375
1715647036.1234066,14398,0.125
1715647037.9096484,14448,0.171875
1715647039.6001787,14495,0.109375
1715647040.6425612,14531,0.125
1715647041.4162335,14558,0.1171875
1715647043.6674635,14633,0.1328125
1715647043.849958,14639,0.1953125
1715647044.7535262,14669,0.1328125
1715647045.0360823,14678,0.125
1715647045.334146,14688,0.15625
1715647048.1342256,14780,0.1640625
