Wall time,Step,Value
1714946432.1690493,43,0.0234375
1714946437.6031196,95,0.0078125
1714946445.2322273,168,0.0546875
1714946451.7167604,230,0.03125
1714946452.2434149,235,0.015625
1714946456.3214073,274,0.0390625
1714946459.9838629,309,0.03125
1714946460.192796,311,0.0859375
1714946461.0297422,319,0.0390625
1714946483.2943842,475,0.0390625
1714946489.7816408,537,0.03125
1714946494.2811763,580,0.0859375
1714946495.0150208,587,0.0703125
1714946500.0370944,635,0.078125
1714946501.394338,648,0.09375
1714946508.3917108,715,0.078125
1714946509.231207,723,0.0703125
1714946518.526749,809,0.09375
1714946521.4528818,837,0.09375
1714946540.0705311,1015,0.09375
1714946545.5238798,1067,0.1171875
1714946549.498953,1105,0.078125
1714946557.699784,1181,0.1015625
1714946566.197492,1262,0.1328125
1714946571.9556005,1317,0.1328125
1714946572.269842,1320,0.078125
1714946573.736453,1334,0.0859375
1714946574.1558082,1338,0.046875
1714946579.1906586,1386,0.0859375
1714946579.9235876,1393,0.109375
1714946584.5282035,1437,0.125
1714946596.674757,1553,0.1484375
1714946611.4896142,1692,0.09375
1714946615.994568,1735,0.0703125
1714946616.3081033,1738,0.109375
1714946627.4918,1845,0.0859375
1714946630.938292,1878,0.125
1714946635.1221387,1918,0.2109375
1714946648.0676668,2037,0.1640625
1714946654.3348095,2097,0.140625
1714946665.0923903,2200,0.125
1714946671.6859934,2263,0.109375
1714946676.3954353,2308,0.1328125
1714946685.2100573,2390,0.171875
1714946690.119519,2437,0.125
1714946695.2525811,2486,0.1484375
1714946695.3578217,2487,0.140625
1714946696.6130524,2499,0.1171875
1714946700.169719,2533,0.1796875
1714946716.196975,2686,0.1484375
1714946722.2223635,2741,0.1640625
1714946746.0067482,2968,0.125
1714946753.4473689,3039,0.1328125
1714946766.5662513,3162,0.1484375
1714946773.7931387,3231,0.1640625
1714946775.466242,3247,0.125
1714946775.5708869,3248,0.140625
1714946781.643111,3306,0.1484375
1714946814.7081652,3619,0.1796875
1714946814.9182076,3621,0.171875
1714946820.1226296,3671,0.2265625
1714946827.5709987,3742,0.1796875
1714946835.2278073,3815,0.1875
1714946835.9621017,3822,0.140625
1714946849.916202,3929,0.140625
1714946852.85407,3957,0.203125
1714946861.2436557,4037,0.15625
